bar_index,time,open,high,low,close,volume,time_close
0,1776243600,74110.52,74176.49,73909.49,74011.69,363.2179,1776247200
1,1776247200,74011.7,74250,73789.5,73864.75,548.88747,1776250800
2,1776250800,73864.76,74256.44,73864.76,74201.78,444.7329,1776254400
3,1776254400,74201.78,74466.1,74051.64,74273.77,567.44529,1776258000
4,1776258000,74273.77,74434.51,73817.23,74063.92,676.35905,1776261600
5,1776261600,74063.91,74506.84,73830,74151.81,757.76569,1776265200
6,1776265200,74151.81,74299.07,73580.85,73844.08,743.29132,1776268800
7,1776268800,73844.07,74176,73762.89,73941.09,547.84936,1776272400
8,1776272400,73941.09,74242,73915.48,74134.95,593.44252,1776276000
9,1776276000,74134.95,74399.75,74073.61,74390.29,407.09098,1776279600
10,1776279600,74390.29,75281,74355.46,75002.6,1179.99077,1776283200
11,1776283200,75002.6,75039.92,74512.06,74841.68,570.09892,1776286800
12,1776286800,74841.67,74855.16,74540.23,74743.1,310.66035,1776290400
13,1776290400,74743.1,75425,74740.02,74964,653.95001,1776294000
14,1776294000,74964.01,74964.01,74620.95,74809.99,311.26846,1776297600
15,1776297600,74809.99,74874.93,74451.49,74815.1,636.94865,1776301200
16,1776301200,74815.09,74815.09,74454.09,74657.66,240.65148,1776304800
17,1776304800,74657.67,75267.85,74601.27,74887.24,589.65615,1776308400
18,1776308400,74887.23,75159.26,74865.5,74888.21,470.71966,1776312000
19,1776312000,74888.21,75174.38,74728,74944.15,513.51186,1776315600
20,1776315600,74944.15,75139.82,74900,75043.48,359.01217,1776319200
21,1776319200,75043.47,75115.12,74853.72,75045.01,604.84284,1776322800
22,1776322800,75045.01,75082.78,74636,74707.03,708.0609,1776326400
23,1776326400,74707.02,74744.35,74500,74677.91,669.8621,1776330000
24,1776330000,74677.91,74901.5,74594.01,74594.02,316.26697,1776333600
25,1776333600,74594.02,74653.12,74277.34,74313,526.53069,1776337200
26,1776337200,74312.99,74663.27,74285,74574.79,1174.6136,1776340800
27,1776340800,74574.8,74872,74574.79,74624,529.55969,1776344400
28,1776344400,74624.01,75030.39,73309.85,73788.03,1828.93731,1776348000
29,1776348000,73788.03,74197.32,73426.94,73973.33,1331.31817,1776351600
30,1776351600,73973.33,74878.99,73934.44,74697.19,1520.20876,1776355200
31,1776355200,74697.2,74932,74063,74175.57,762.35705,1776358800
32,1776358800,74175.58,74438.31,73912.23,74343.25,751.1945,1776362400
33,1776362400,74343.25,75089,74240,75026.71,780.63438,1776366000
34,1776366000,75026.71,75410.71,74717.97,75342.99,1203.37407,1776369600
35,1776369600,75343,75534.76,75001,75223.47,661.71844,1776373200
36,1776373200,75223.48,75286.51,74789.5,74934.24,451.58433,1776376800
37,1776376800,74934.24,75117,74833.14,74867.92,232.35004,1776380400
38,1776380400,74867.92,75177.76,74840.92,75154.29,224.77396,1776384000
39,1776384000,75154.28,75154.77,74886.82,74944.98,796.37355,1776387600
40,1776387600,74944.99,75034.49,74569.99,74750,407.29847,1776391200
41,1776391200,74750,74802.98,74529.4,74700,235.53372,1776394800
42,1776394800,74700,74839.31,74606.12,74615.82,721.66261,1776398400
43,1776398400,74615.82,74871.11,74589.88,74791.39,213.9543,1776402000
44,1776402000,74791.39,74801.13,74555.12,74637.77,241.61979,1776405600
45,1776405600,74637.77,74950,74604.62,74938.52,276.57366,1776409200
46,1776409200,74938.53,75089.51,74930,75074.77,607.34373,1776412800
47,1776412800,75074.76,75881.95,74993.24,75780.38,1494.62708,1776416400
48,1776416400,75780.38,76370.25,75518.78,75779.99,2004.70646,1776420000
49,1776420000,75779.99,75886.01,75095.93,75278.77,1050.31882,1776423600
50,1776423600,75278.77,75609.77,75246.65,75589.7,429.61331,1776427200
51,1776427200,75589.7,76265.82,75531.97,76233.05,1128.91448,1776430800
52,1776430800,76233.06,77417.61,76061.57,77340.12,5123.01639,1776434400
53,1776434400,77340.11,78052.49,77015.39,77886.77,3617.10048,1776438000
54,1776438000,77886.77,77999,77444.44,77785.02,1975.14451,1776441600
55,1776441600,77785.03,78333,77705.2,77857.14,1402.18359,1776445200
56,1776445200,77857.15,77917.77,77101.49,77520.59,1173.45635,1776448800
57,1776448800,77520.59,77565.63,77088.23,77159.89,637.39265,1776452400
58,1776452400,77159.88,77473.44,77000,77393.58,652.45495,1776456000
59,1776456000,77393.58,77611.68,77160.12,77337.64,357.23206,1776459600
60,1776459600,77337.64,77494.69,77278.72,77445.73,307.76412,1776463200
61,1776463200,77445.74,77510,77274.56,77301.25,474.88113,1776466800
62,1776466800,77301.25,77302,76911,77072,612.20073,1776470400
63,1776470400,77072.01,77258.55,76978.17,77168,324.03843,1776474000
64,1776474000,77168.22,77330,77115.77,77218.07,266.4299,1776477600
65,1776477600,77218.06,77420.08,77124.63,77292.52,268.04149,1776481200
66,1776481200,77292.53,77296.95,76962.67,77005.47,268.91717,1776484800
67,1776484800,77005.47,77162.08,76884.1,77100.74,370.07883,1776488400
68,1776488400,77100.73,77278.58,77100.73,77134.66,312.05483,1776492000
69,1776492000,77134.66,77217,77058.4,77136.01,168.72376,1776495600
70,1776495600,77136.01,77136.01,76890,76997.8,276.05173,1776499200
71,1776499200,76997.79,77048,76501,76738.63,773.24357,1776502800
72,1776502800,76738.62,76738.63,76409.37,76599.89,462.93265,1776506400
73,1776506400,76599.89,76599.9,76132.32,76189.56,624.93038,1776510000
74,1776510000,76189.55,76189.56,75763.76,76039.05,809.07399,1776513600
75,1776513600,76039.06,76300,76039.05,76206.97,492.57948,1776517200
76,1776517200,76206.98,76212.7,75797.53,76122.87,456.87331,1776520800
77,1776520800,76122.88,76288.4,75959.68,76249.99,461.97289,1776524400
78,1776524400,76250,76363.75,76003.97,76167.34,261.12334,1776528000
79,1776528000,76167.33,76211.57,75691.03,75943.35,522.36094,1776531600
80,1776531600,75943.34,75958.23,75778.69,75828.51,256.05723,1776535200
81,1776535200,75828.51,75844.66,75445.16,75651.78,591.47146,1776538800
82,1776538800,75651.78,75796.32,75574.22,75649.85,194.3187,1776542400
83,1776542400,75649.86,75834.3,75608.44,75754.78,484.97143,1776546000
84,1776546000,75754.77,75839.1,75599.64,75821.34,197.94348,1776549600
85,1776549600,75821.35,75873.1,75608.89,75813.53,155.69572,1776553200
86,1776553200,75813.53,75891.64,75685.69,75691.76,141.95985,1776556800
87,1776556800,75691.76,75847.42,75551.73,75693.01,297.06433,1776560400
88,1776560400,75693,75798.47,75457.11,75621.95,321.53516,1776564000
89,1776564000,75621.96,75722.21,75407.84,75496,212.48934,1776567600
90,1776567600,75496.01,75637.44,75357,75515.77,175.28804,1776571200
91,1776571200,75515.76,75782.63,75424.4,75664.62,294.60425,1776574800
92,1776574800,75664.62,75687.04,75516.39,75545.6,174.63786,1776578400
93,1776578400,75545.6,75545.6,75280.92,75400.09,385.31594,1776582000
94,1776582000,75400.09,75400.09,74867.72,75252.34,771.61495,1776585600
95,1776585600,75252.33,75299.99,75071.58,75257.6,333.58261,1776589200
96,1776589200,75257.59,75265,74921.74,75015,313.21615,1776592800
97,1776592800,75015,75243.02,74933.87,75222.45,323.18472,1776596400
98,1776596400,75222.46,75641.99,75216.96,75604.11,418.71675,1776600000
99,1776600000,75604.11,75700,75432.07,75571.6,439.48255,1776603600
100,1776603600,75571.61,76240.66,75552.44,75921.75,760.39543,1776607200
101,1776607200,75921.75,76147.01,75674.55,76024.01,621.24056,1776610800
102,1776610800,76024.02,76155.3,75401.44,75846.63,1097.76631,1776614400
103,1776614400,75846.63,75853.26,75311.11,75382.86,403.71917,1776618000
104,1776618000,75382.87,75382.87,74638.31,74791.26,795.68148,1776621600
105,1776621600,74791.27,74908.62,74608,74770.11,531.16281,1776625200
106,1776625200,74770.11,75071.61,74770.11,74965.47,306.83274,1776628800
107,1776628800,74965.46,74965.47,74427.53,74630,452.71123,1776632400
108,1776632400,74630.01,74810,74368.6,74425.15,383.54881,1776636000
109,1776636000,74425.16,74425.16,73762.9,74047.34,1140.3898,1776639600
110,1776639600,74047.34,74054.22,73790,73801.79,415.64133,1776643200
111,1776643200,73801.8,74360.43,73724.31,74280.01,787.93368,1776646800
112,1776646800,74280.01,74746.93,74214.67,74595.13,689.61016,1776650400
113,1776650400,74595.12,74627.99,74304.84,74410.01,739.68976,1776654000
114,1776654000,74410.01,74640.65,74359.04,74634,281.2031,1776657600
115,1776657600,74634.01,74637.43,74435.19,74567.64,333.76794,1776661200
116,1776661200,74567.63,74567.63,74095.18,74264.15,529.73957,1776664800
117,1776664800,74264.16,74894.11,74250,74786.59,441.3007,1776668400
118,1776668400,74786.59,75572,74670.86,74837.17,1175.74482,1776672000
119,1776672000,74837.18,74998.83,74619.41,74728.91,538.52852,1776675600
120,1776675600,74728.92,75233,74706.87,75062.77,502.56404,1776679200
121,1776679200,75062.77,75404.63,75003.63,75027.26,321.321,1776682800
122,1776682800,75027.26,75287.88,74957.51,75192.71,284.12016,1776686400
123,1776686400,75192.72,75650,75043.86,75289.9,698.85484,1776690000
124,1776690000,75289.91,75434.41,74859.11,75269.38,774.09093,1776693600
125,1776693600,75269.37,75766.74,74921.42,75034.79,1047.20928,1776697200
126,1776697200,75034.79,75772.72,74702,75716.77,1196.9526,1776700800
127,1776700800,75716.78,75723.99,75299.26,75338.74,630.71705,1776704400
128,1776704400,75338.75,75991.47,75289.92,75898.14,642.61045,1776708000
129,1776708000,75898.14,76453.19,75898.14,76423.69,1544.76303,1776711600
130,1776711600,76423.69,76486.67,76154.49,76296.96,1368.12243,1776715200
131,1776715200,76296.97,76558.62,76113.07,76276.17,1418.8575,1776718800
132,1776718800,76276.18,76357.2,75784.05,75954.71,523.28232,1776722400
133,1776722400,75954.72,76143.71,75904.39,75974.24,220.6417,1776726000
134,1776726000,75974.24,75974.24,75617.6,75840.97,301.78476,1776729600
135,1776729600,75840.97,76099.19,75700,76092.45,428.95831,1776733200
136,1776733200,76092.46,76263.4,75866.01,75927.59,391.13593,1776736800
137,1776736800,75927.58,75932.7,75580,75581.33,536.09341,1776740400
138,1776740400,75581.33,75721.12,75474.77,75710.3,256.2515,1776744000
139,1776744000,75710.31,75823.49,75600,75813.81,259.64273,1776747600
140,1776747600,75813.8,75981.1,75782.75,75802,321.53858,1776751200
141,1776751200,75802,76129.95,75703.85,75974.11,408.87339,1776754800
142,1776754800,75974.12,76300,75814.26,76084.34,1236.72448,1776758400
143,1776758400,76084.34,76927.57,76063.98,76507.21,915.23783,1776762000
144,1776762000,76507.21,76587.82,76155,76362.77,582.67237,1776765600
145,1776765600,76362.78,76866.55,76349.59,76746.41,536.34243,1776769200
146,1776769200,76746.41,76750.68,76342,76452.94,624.94284,1776772800
147,1776772800,76452.94,76528.11,75709.03,76009.46,1039.78515,1776776400
148,1776776400,76009.46,76179.75,75736.33,75899.98,686.08493,1776780000
149,1776780000,75899.98,76595.3,75625.28,75675.05,949.21411,1776783600
150,1776783600,75675.04,75979.78,75430.62,75834.65,923.86151,1776787200
151,1776787200,75834.66,76190.72,75760,75781.18,496.33064,1776790800
152,1776790800,75781.19,75912.98,75052.64,75545.62,995.0846,1776794400
153,1776794400,75545.62,75668.24,75310.88,75610.21,456.47055,1776798000
154,1776798000,75610.21,75919.5,74821.57,75023.43,954.2676,1776801600
155,1776801600,75023.43,75859.56,74967.58,75698.51,797.25703,1776805200
156,1776805200,75698.51,75777.38,75431.62,75549.99,249.37655,1776808800
157,1776808800,75549.99,75650.04,75302.01,75650.04,389.29388,1776812400
158,1776812400,75650.03,76425.37,75622,76336.15,477.13097,1776816000
159,1776816000,76336.14,76500,76220.4,76370.45,496.92701,1776819600
160,1776819600,76370.46,76416.24,76132.95,76297.99,351.48706,1776823200
161,1776823200,76297.99,77645.35,76223.9,77604.71,1622.85639,1776826800
162,1776826800,77604.7,77733.11,77397.88,77521.48,956.6528,1776830400
163,1776830400,77521.47,77700,77364.25,77523,547.1578,1776834000
164,1776834000,77523.01,78452.18,77450,77994.93,2386.48879,1776837600
165,1776837600,77994.92,78042.84,77900,78010.72,576.88586,1776841200
166,1776841200,78010.73,78111,77825,78012.79,880.5264,1776844800
167,1776844800,78012.78,78219.41,77941.59,78010.92,987.44812,1776848400
168,1776848400,78010.92,78184.7,77956.76,78001.95,415.39605,1776852000
169,1776852000,78001.96,78180,77951.17,78157.41,352.72131,1776855600
170,1776855600,78157.41,78399,78102,78300,560.88264,1776859200
171,1776859200,78300,78508.18,78114.04,78236.05,952.94008,1776862800
172,1776862800,78236.05,78850,78162.64,78840.94,1253.18724,1776866400
173,1776866400,78840.94,79174.68,78577.86,79045.75,1847.69509,1776870000
174,1776870000,79045.75,79400,78837.66,79272.9,1412.004,1776873600
175,1776873600,79272.91,79472.82,78632.37,78743.59,1010.97362,1776877200
176,1776877200,78743.6,79034.73,78705.71,78900,502.31388,1776880800
177,1776880800,78900.01,79163.66,78828.76,79022.39,322.94022,1776884400
178,1776884400,79022.4,79067.6,78706.81,78846.62,557.30668,1776888000
179,1776888000,78846.62,78915.84,78410,78436.68,436.66543,1776891600
180,1776891600,78436.69,78821.86,78425,78762.69,299.34545,1776895200
181,1776895200,78762.68,78824,78456.15,78607.95,294.6414,1776898800
182,1776898800,78607.95,78607.95,78155.83,78178.23,712.06893,1776902400
183,1776902400,78178.22,78574.44,77582.17,78424.29,1778.58027,1776906000
184,1776906000,78424.3,78472.95,78057.5,78359.23,586.8685,1776909600
185,1776909600,78359.71,78359.72,77761.2,77939.92,508.32327,1776913200
186,1776913200,77939.91,78025.99,77453.43,77746.46,609.2036,1776916800
187,1776916800,77746.47,77949.09,77675.8,77920.09,305.0499,1776920400
188,1776920400,77920.09,78110.01,77750,78033.87,680.89298,1776924000
189,1776924000,78034,78339.35,78034,78211.43,433.12959,1776927600
190,1776927600,78211.43,78248.39,77981.88,78048.62,292.35484,1776931200
191,1776931200,78048.61,78175.52,77714.86,77858.35,1135.26875,1776934800
192,1776934800,77858.34,77860.8,77440.85,77655.34,772.05261,1776938400
193,1776938400,77655.35,77709.16,77174.01,77403.63,1129.48909,1776942000
194,1776942000,77403.63,77757.31,77365.57,77704.62,525.42671,1776945600
195,1776945600,77704.61,77870.54,77491.18,77870.53,636.21566,1776949200
196,1776949200,77870.54,77904.37,77379.92,77532.23,592.70115,1776952800
197,1776952800,77532.23,78201.53,77414,78180.77,926.52082,1776956400
198,1776956400,78180.78,78662.5,77983.25,78376.76,1008.45262,1776960000
199,1776960000,78376.77,78509.82,78030,78103.72,661.93618,1776963600
200,1776963600,78103.72,78184.85,76960,77769.21,1724.53866,1776967200
201,1776967200,77769.2,78146.75,77678.65,77678.65,731.06838,1776970800
202,1776970800,77678.65,77886.88,77592.92,77727.26,830.20485,1776974400
203,1776974400,77727.25,78050,77637.5,77886.97,391.74493,1776978000
204,1776978000,77886.97,78070,77800,77864.83,211.37751,1776981600
205,1776981600,77864.84,78331,77864.83,78235.3,271.3302,1776985200
206,1776985200,78235.29,78298.01,78030,78257.48,228.06394,1776988800
207,1776988800,78257.48,78490.83,78172.01,78417.22,451.37457,1776992400
208,1776992400,78417.22,78450,77952.16,78429.73,533.84795,1776996000
209,1776996000,78429.73,78581.93,78067.17,78125.65,425.56297,1776999600
210,1776999600,78125.65,78178.4,77555,77737.85,639.95986,1777003200
211,1777003200,77737.84,77854.57,77482.49,77670,605.14416,1777006800
212,1777006800,77670.01,78057.65,77457,77953.48,423.6718,1777010400
213,1777010400,77953.48,77979.54,77761.2,77789.75,280.75336,1777014000
214,1777014000,77789.75,77855.67,77543.52,77644.6,696.90666,1777017600
215,1777017600,77644.59,78000,77550.73,77785.71,731.67499,1777021200
216,1777021200,77785.7,77804.23,77402.01,77527.69,621.09775,1777024800
217,1777024800,77527.7,77784,77444.95,77752.36,379.99202,1777028400
218,1777028400,77752.37,78372.58,77752.37,78240.26,1186.36064,1777032000
219,1777032000,78240.27,78345.15,78016.51,78275.66,579.40035,1777035600
220,1777035600,78275.65,78479.37,77913.27,78093.79,852.96848,1777039200
221,1777039200,78093.8,78093.8,77681.74,78037.64,755.72516,1777042800
222,1777042800,78037.65,78233.18,77577.22,78038.62,662.02033,1777046400
223,1777046400,78038.63,78060.29,77586.86,77777.28,525.06319,1777050000
224,1777050000,77776.76,77829.17,77489.6,77681.71,537.36482,1777053600
225,1777053600,77681.72,77717.08,77363.63,77618.24,321.31558,1777057200
226,1777057200,77618.25,77748.66,77532.46,77628.85,250.57895,1777060800
227,1777060800,77628.84,77757.14,77458,77718.31,376.29595,1777064400
228,1777064400,77718.31,77756.15,77536.48,77536.48,322.69633,1777068000
229,1777068000,77536.49,77616.78,77264.08,77328.91,278.27896,1777071600
230,1777071600,77328.92,77456.87,77328.92,77437.13,237.08832,1777075200
231,1777075200,77437.13,77502.99,77309.92,77456.88,429.63681,1777078800
232,1777078800,77456.88,77620.52,77440.8,77541.63,200.07888,1777082400
233,1777082400,77541.63,77644.04,77504.43,77607.8,171.0703,1777086000
234,1777086000,77607.8,77711.87,77550.27,77679.07,142.22205,1777089600
235,1777089600,77679.08,77691.23,77596.37,77619.05,275.21191,1777093200
236,1777093200,77619.05,77619.05,77485.51,77510.28,174.55862,1777096800
237,1777096800,77510.27,77582.28,77489.35,77503.63,269.54814,1777100400
238,1777100400,77503.63,77566.26,77450,77501.19,174.69907,1777104000
239,1777104000,77501.19,77654.41,77491.36,77643.37,116.50084,1777107600
240,1777107600,77643.38,77779.65,77587.1,77714.55,144.65626,1777111200
241,1777111200,77714.56,77885.35,77714.55,77787.77,306.44644,1777114800
242,1777114800,77787.76,77787.77,77607.03,77682.3,185.59351,1777118400
243,1777118400,77682.29,77717.95,77550.61,77557.14,161.82067,1777122000
244,1777122000,77557.14,77710.91,77557.14,77691.69,161.65796,1777125600
245,1777125600,77691.7,77752.54,77638,77656.75,202.75966,1777129200
246,1777129200,77656.74,77722.7,77299.89,77330.26,480.35839,1777132800
247,1777132800,77330.25,77454.31,77140.23,77397.27,471.60364,1777136400
248,1777136400,77397.27,77407.03,77210.96,77245.77,151.09691,1777140000
249,1777140000,77245.78,77389.01,77216.29,77313,331.13304,1777143600
250,1777143600,77313,77343.81,77193.79,77330.01,293.84127,1777147200
251,1777147200,77330,77481.7,77311.05,77479.13,85.63447,1777150800
252,1777150800,77479.14,77530,77415.2,77525.84,150.55151,1777154400
253,1777154400,77525.83,77634.77,77498.81,77557.01,242.12513,1777158000
254,1777158000,77557.01,77650,77530,77625,362.30872,1777161600
255,1777161600,77625,77642.43,77445.94,77502.4,307.91239,1777165200
256,1777165200,77502.39,77572.81,77451.16,77461.16,130.56583,1777168800
257,1777168800,77461.16,77590.97,77452.07,77512.67,85.92459,1777172400
258,1777172400,77512.67,77541.96,77326.51,77400.21,146.77411,1777176000
259,1777176000,77400.21,77814.43,77383.46,77774.29,227.07196,1777179600
260,1777179600,77774.29,78200,77719.77,77983.31,797.06637,1777183200
261,1777183200,77983.31,78045,77899.45,77999.04,206.01822,1777186800
262,1777186800,77999.04,78121.45,77968.36,78102.53,175.6113,1777190400
263,1777190400,78102.53,78210,78019.65,78032.59,265.96473,1777194000
264,1777194000,78032.59,78058.45,77926.59,77999.99,168.80014,1777197600
265,1777197600,78000,78050.19,77954,78002.43,153.3474,1777201200
266,1777201200,78002.43,78149.99,78002.42,78101.44,133.58626,1777204800
267,1777204800,78101.43,78101.5,77770,77833.08,296.93614,1777208400
268,1777208400,77833.08,77996.69,77797.13,77977.79,254.46962,1777212000
269,1777212000,77977.79,78173.15,77871.85,78095.66,401.66239,1777215600
270,1777215600,78095.65,78121.92,77988.89,78049,177.4742,1777219200
271,1777219200,78049,78086.47,77919.42,77919.43,198.96678,1777222800
272,1777222800,77919.43,78050,77850,78018.57,373.25532,1777226400
273,1777226400,78018.57,78346.89,77988.11,78283.96,421.27794,1777230000
274,1777230000,78283.97,78500,78013.76,78221.16,511.56,1777233600
275,1777233600,78221.17,78377.77,78158.04,78194.22,172.13709,1777237200
276,1777237200,78194.21,78961,77843.75,78417.41,977.34524,1777240800
277,1777240800,78417.41,78850.3,77953.26,78313.52,710.63176,1777244400
278,1777244400,78313.52,78901.63,78041.05,78657.55,669.20184,1777248000
279,1777248000,78657.55,79392.4,78400.03,79308.6,1271.22649,1777251600
280,1777251600,79309,79485.66,78730.71,79283.66,993.09217,1777255200
281,1777255200,79283.65,79304,79030.91,79130.01,381.22923,1777258800
282,1777258800,79130.01,79316.5,79077.81,79105.49,397.44839,1777262400
283,1777262400,79105.5,79160,78872.42,78924.22,417.67922,1777266000
284,1777266000,78924.21,78938,77562.63,77785.54,1805.78745,1777269600
285,1777269600,77785.55,77871.9,77465.05,77700.12,641.73247,1777273200
286,1777273200,77700.12,77734.79,77562.08,77606.6,743.19766,1777276800
287,1777276800,77606.59,77816.18,77553.23,77804.34,465.54163,1777280400
288,1777280400,77804.34,77980,77700,77900.01,578.50773,1777284000
289,1777284000,77900.01,77935.66,77792.46,77850.01,307.66223,1777287600
290,1777287600,77850.01,77885.46,77740.39,77844.26,252.77882,1777291200
291,1777291200,77844.25,77867.33,77620,77667.36,415.46743,1777294800
292,1777294800,77667.36,77966.8,77571.79,77746.74,762.82407,1777298400
293,1777298400,77746.74,78265.34,77680,77815.25,744.42829,1777302000
294,1777302000,77815.26,77827.17,76564.33,76793.09,1882.83904,1777305600
295,1777305600,76793.1,76868.01,76546,76618.59,809.49074,1777309200
296,1777309200,76618.59,76990.43,76618.59,76743.24,874.80558,1777312800
297,1777312800,76743.23,76890.99,76668.52,76834.06,361.97331,1777316400
298,1777316400,76834.05,76894.7,76459.64,76878.07,598.68003,1777320000
299,1777320000,76878.23,76994.23,76844.16,76942.4,111.25751,1777323600
