bar_index,time,sma5,ema5,rma5,rsi14,atr14,macd_line,macd_signal,macd_hist,stoch14
31,1743514200,221.71999999999994,221.6599505098391,221.09117505920008,48.10062613299009,6.031190738804793,-3.2239755152075134,-4.296761793729182,1.0727862785216686,85.87209302325579
32,1743600600,222.19199999999995,222.40330033989272,221.65094004736005,48.97045118981153,5.898248543175879,-2.7780363878636365,-3.9930167125560727,1.2149803246924362,89.21446384039888
33,1743687000,218.05999999999995,215.9988668932618,217.95875203788805,31.928858610207882,7.09408793294903,-4.048277397632802,-4.004068849571419,-0.04420854806138319,7.960607304062361
34,1743773400,212.15599999999995,206.7925779288412,212.04300163031044,25.177905783191918,7.719510223452671,-6.178770754031632,-4.439009230463461,-1.7397615235681707,2.716823406478558
35,1744032600,204.02199999999993,198.34838528589415,205.92640130424834,22.75672529209413,8.563116636063194,-8.329570155722678,-5.2171214155153045,-3.1124487402073733,13.41176470588236
36,1744119000,193.86799999999994,189.7055901905961,199.22512104339867,20.044917774718428,9.460386876344396,-10.640885126782905,-6.301874157768824,-4.339010969014081,5.69031322516079
37,1744205400,188.85999999999993,192.75372679373072,199.15009683471894,41.85929441874538,10.836073528034083,-10.222104718049081,-7.085920269824876,-3.1361844482242054,52.54379107213448
38,1744291800,186.3059999999999,191.97581786248713,197.40407746777515,38.2725590925226,11.194211133174505,-10.449987819832586,-7.758733779826418,-2.691254040006168,37.59960574296352
39,1744378200,188.2599999999999,194.03387857499143,197.5532619742201,43.08812083033044,11.357481766519184,-9.89280235462212,-8.185547494785558,-1.7072548598365618,51.30287414088661
40,1744637400,192.4719999999999,196.86258571666096,198.54660957937608,45.66863316901694,11.60266164033924,-8.994918558749305,-8.347421707578308,-0.6474968511709971,59.04974126881984
41,1744723800,198.41599999999988,198.6217238111073,199.26528766350086,45.475539640572336,11.038900094600722,-8.219255544219322,-8.32178847490651,0.10253293068718783,58.37610064899952
42,1744810200,197.4999999999999,197.17114920740488,198.2662301308007,41.55662508817446,10.94826437355781,-8.145681894154876,-8.286567158756183,0.14088526460130701,44.42464886482692
43,1744896600,198.8119999999999,197.1074328049366,198.00898410464055,43.36646776249121,10.492209775446536,-7.779028101151027,-8.185059347235152,0.4060312460841242,49.22877012722941
44,1745242200,197.8139999999999,195.79162186995774,197.03918728371244,41.419369898301376,10.254823362914639,-7.707843185251733,-8.089616114838467,0.3817729295867345,42.78303462492786
45,1745328600,197.25799999999987,197.10774791330516,197.57934982696995,45.92329505833781,10.124478836992166,-7.039332573817774,-7.879559406634328,0.8402268328165547,54.537253549934896
46,1745415000,197.7499999999999,199.60516527553676,198.98347986157597,49.03976949895583,9.991301777207012,-6.047658076838843,-7.5131791406752315,1.4655210638363885,80.92838081038373
47,1745501400,200.56999999999988,202.52677685035783,200.86078388926077,51.380511245369554,9.698344507406512,-4.9010452022617415,-6.9907523529925335,2.089707150730792,89.54948444885537
48,1745587800,203.0299999999999,204.77785123357188,202.5446271114086,51.95418163962469,9.25917704259176,-3.8742568224390936,-6.367453246881846,2.4931964244427522,91.63044049952093
49,1745847000,206.42599999999987,206.5652341557146,204.06370168912687,52.52430018346913,8.886378682406635,-2.957037928590154,-5.685370183223507,2.7283322546333535,93.5970583056444
50,1745933400,208.71999999999989,208.11348943714307,205.4929613513015,53.26731978563539,8.52806591937759,-2.119364573824271,-4.97216906134366,2.852804487519389,95.78562728380027
51,1746019800,210.29999999999987,209.57565962476204,206.89436908104116,54.19800729514371,8.412454067993478,-1.336009500160685,-4.244937149107065,2.9089276489463796,96.4682799215173
52,1746106200,211.28999999999988,210.8237730831747,208.17949526483295,54.814028477174475,8.215850205993943,-0.6416314851802838,-3.5242760163217084,2.8826445311414246,95.6491228070175
53,1746192600,210.50399999999985,208.9991820554498,207.61359621186634,48.0496123928679,8.426146619851519,-0.7260745619314832,-2.9646357254436633,2.23856116351218,62.7860744763382
54,1746451800,208.25399999999985,205.6294547036332,205.86887696949307,43.37702692036859,8.334279004147838,-1.299286948993739,-2.6315659701536784,1.3322790211599393,36.68379881044728
55,1746538200,205.71399999999986,203.25630313575547,204.39710157559446,43.11144670145139,7.998259075280136,-1.7638916744813002,-2.458031111019203,0.6941394365379026,35.14837083010078
56,1746624600,202.46399999999988,200.92086875717033,202.76768126047557,41.484651385187675,7.869097712760126,-2.2880817964504274,-2.4240412481054476,0.1359594516550202,26.016614946987286
57,1746711000,199.29799999999986,199.77724583811354,201.71214500838045,42.760887808068155,7.690619304705832,-2.5737796778057316,-2.4539889340455043,-0.11979074376022725,31.02695888285492
58,1746797400,197.93399999999988,199.36149722540904,201.07571600670434,43.866692200176885,7.3591393543697,-2.685323263735853,-2.500255799983574,-0.1850674637522789,24.777099953073677
59,1747056600,200.3139999999999,203.17099815027268,203.01857280536348,54.9224300396086,7.743336543343292,-1.764107289592971,-2.3530260979054534,0.5889188083124823,82.3087752229
60,1747143000,203.19799999999992,206.42399876684846,205.00085824429078,56.531767301399285,7.5045267902473425,-0.8515408450127211,-2.052729047326907,1.201188202314186,92.3510089160019
61,1747229400,206.4139999999999,208.39266584456564,206.4666865954326,55.92886802770017,7.208482019515389,-0.17472621356080253,-1.6771284805736861,1.5024022670128836,89.53542937587993
62,1747315800,209.2059999999999,209.41177722971042,207.46334927634607,55.00235907505678,6.937876160978576,0.2873334118053492,-1.284236102097879,1.5715695139032282,85.4059127170342
63,1747402200,211.75199999999987,210.02785148647362,208.22267942107683,54.79131124231224,6.642313578051534,0.6309147888095197,-0.9012059239163992,1.5321207127259189,84.5143125293289
64,1747661400,211.34999999999985,209.6119009909824,208.3341435368615,51.98730088787958,6.667862608190711,0.6950778073876052,-0.5819491776555983,1.2770269850432034,72.87658376349131
65,1747747800,210.13599999999988,208.69460066065494,208.0393148294892,49.85988018654428,6.459443850462803,0.5842644708617684,-0.3487064479521249,0.9329709188138933,63.86672923510095
66,1747834200,208.08799999999988,206.4930671071033,206.84945186359136,44.93962744141956,6.450197861144029,0.1102738001265493,-0.25691039833639007,0.36718419846293937,42.7259545674239
67,1747920600,206.06999999999988,204.78204473806886,205.75156149087306,44.220429716698135,6.207326585348028,-0.32057671170446156,-0.26964366101000437,-0.050933050694457194,39.19768003866609
68,1748007000,202.8719999999999,201.61136315871258,203.65524919269845,38.66166260415789,6.328231829251741,-1.1402963239742974,-0.44377419360286297,-0.6965221303714344,9.763170613823153
69,1748352600,201.1579999999999,201.1442421058084,202.96619935415876,44.73087642807427,6.26692955573376,-1.3754578854509418,-0.6301109319724787,-0.7453469534784631,33.63943934267766
70,1748439000,199.8699999999999,200.90282807053893,202.456959483327,44.98010465479346,6.021434587467062,-1.527274403582794,-0.8095436262945418,-0.7177307772882523,33.984374999999915
71,1748525400,199.4419999999999,200.58521871369263,201.95556758666163,44.49648537595312,5.96990354550513,-1.6663070100555046,-0.9808963030467344,-0.6854107070087703,31.689453124999922
72,1748611800,199.33999999999986,200.67347914246176,201.7344540693293,45.70043639233499,5.913481863683336,-1.6844515648696756,-1.1216073554113226,-0.562844209458353,36.08398437499995
73,1748871000,200.62599999999986,201.01565276164118,201.72756325546342,46.87254655670261,5.6346617305630975,-1.6116650871329625,-1.2196189017556507,-0.39204618537731184,40.23437499999993
74,1748957400,201.2379999999999,201.76710184109413,202.03605060437073,49.05979536288246,5.433257321237162,-1.4110299255200687,-1.2579011065085344,-0.1531288190115343,47.900390625000036
75,1749043800,201.71799999999988,202.11806789406276,202.19284048349658,48.44416755162106,5.340881798291652,-1.27365445786873,-1.2610517767805736,-0.012602681088156542,47.99999999999992
76,1749130200,201.85399999999987,201.6220452627085,201.88027238679726,45.45474046327377,5.287961669842248,-1.326210379704662,-1.2740834973653912,-0.052126882339270875,37.51962323390891
77,1749216600,202.4679999999999,202.388030175139,202.2882179094378,50.405962478264335,5.272392979139229,-1.0898230206905737,-1.2372314020304276,0.1474083813398539,65.2933832709113
78,1749475800,202.4179999999999,202.07535345009265,202.12057432755023,46.959566269568796,5.32293633777214,-1.0892366508568614,-1.2076324517957144,0.11839580093885305,53.23117921385733
79,1749562200,202.29799999999992,202.27356896672842,202.2304594620402,48.82089689719316,5.212726599359845,-0.9790423536839228,-1.161914432173356,0.18287207848943332,67.82032400589094
80,1749648600,201.48999999999992,201.10904597781894,201.54036756963214,43.57059365067543,5.275388985119856,-1.1918640028654295,-1.1679043463117709,-0.023959656553658615,41.62754303599368
81,1749735000,201.2039999999999,200.47269731854595,201.0722940557057,44.26749542018903,5.064282629039868,-1.311517841935114,-1.1966270454364394,-0.11489079649867451,44.913928012519406
82,1749821400,199.7099999999999,199.13179821236398,200.14783524456456,40.72135151099663,5.03611958410845,-1.6096908743465406,-1.2792398112184595,-0.33045106312808104,7.1157495256166845
83,1750080600,199.1039999999999,198.89453214157598,199.80226819565164,44.17155830932165,4.83603961381499,-1.6678071718273486,-1.3569532833402373,-0.31085388848711126,25.806451612903164
84,1750167000,197.69799999999992,197.80968809438397,198.9698145565213,40.5819808619425,4.719893927113918,-1.916099915758707,-1.4687826098239314,-0.4473173059347757,3.8984587488665308
85,1750253400,197.25799999999992,197.39979206292264,198.49185164521705,42.289719991965846,4.561330075177209,-2.0138096163800583,-1.5777880111351568,-0.4360216052449015,13.518352730528354
86,1750426200,197.6179999999999,198.59986137528176,198.99348131617364,49.62176920295361,4.601235069807407,-1.7148208106972902,-1.6051945710475835,-0.10962623964970675,53.088630259623976
87,1750685400,198.6279999999999,199.56657425018784,199.4947850529389,50.38962056105401,4.511146850535449,-1.4211421645276232,-1.5683840897435914,0.14724192521596824,57.56490599820947
88,1750771800,199.0039999999999,199.81104950012522,199.65582804235115,48.479806663546015,4.420350646925775,-1.270583200553915,-1.5088239119056561,0.23824071135174107,46.821844225604394
89,1750858200,200.18799999999993,200.39403300008348,200.03666243388093,50.59707829071576,4.345325600716789,-1.0376314971494196,-1.4145854289544089,0.37695393180498926,59.37785910338523
90,1750944600,201.07199999999992,200.59602200005565,200.22932994710476,49.62103941476626,4.2620880578084455,-0.8879669831185311,-1.3092617397872333,0.4212947566687022,54.2543458371455
91,1751031000,201.0879999999999,200.7573480000371,200.39946395768382,49.77010951769177,4.187653196536414,-0.7542074124890235,-1.1982508743275913,0.4440434618385678,54.98627630375129
92,1751290200,201.82199999999992,202.22823200002472,201.35357116614705,56.80688756221908,4.469199396783811,-0.31454726555719503,-1.021510152573512,0.7069628870163169,81.98051948051948
93,1751376600,203.32599999999994,204.09215466668314,202.64685693291761,60.65306873240137,4.508292297013539,0.24489640814218205,-0.7682288404303732,1.0131252485725553,84.34492111269142
94,1751463000,205.50199999999995,206.87476977778877,204.6054855463341,66.28902190324621,4.580557132941144,1.0489631449933654,-0.4047904433456255,1.453753588338991,95.07389162561573
95,1751549400,208.01199999999994,209.09984651852585,206.3943884370673,67.49375007447603,4.456224480588205,1.7555229742073095,0.027272240164961492,1.728250734042348,94.38202247191015
96,1751895000,209.78599999999992,209.38323101235056,207.10551074965383,60.004079813296364,4.668637017689046,2.0019100429737193,0.4221998007267131,1.5797102422470062,70.32136105860113
97,1751981400,210.75399999999996,209.5921540082337,207.68640859972305,60.08358292440184,4.548020087854115,2.176920879836615,0.7731440165486936,1.4037768632879215,70.60491493383743
98,1752067800,211.41799999999995,210.1081026721558,208.37712687977847,61.63049799221012,4.516732938721679,2.37937186735212,1.094389586709379,1.284982280642741,75.94517958412096
99,1752154200,211.41199999999995,210.8754017814372,209.1837015038228,63.349607373429414,4.440537728812987,2.6121825058061177,1.3979481705287267,1.214234335277391,80.28387096774198
100,1752240600,210.9339999999999,210.97026785429148,209.5789612030582,60.47749064773784,4.305499319612058,2.665100441850626,1.6513786247931066,1.0137218170575195,70.64273306311524
101,1752499800,210.66799999999995,210.18684523619433,209.3871689624466,55.01892376121435,4.256535082496911,2.47356776562512,1.8158164529595093,0.6577513126656105,55.15430807399247
102,1752586200,210.48799999999997,209.82789682412957,209.3317351699573,55.846853679447634,4.186068290889987,2.3344060647005733,1.919534375307722,0.41487168939285124,58.04187562244768
103,1752672600,210.29199999999997,209.93859788275304,209.49738813596588,57.64587913418913,4.155634841540704,2.282534007683296,1.9921343017828368,0.29039970590045905,64.22952036913719
104,1752759000,209.81399999999994,209.96573192183536,209.6019105087727,57.310578892068186,4.016660924287797,2.2047136324397627,2.034650167914222,0.17006346452554055,63.40450106957866
105,1752845400,209.81799999999998,210.37048794789024,209.91752840701815,59.41690403610359,3.87872085826724,2.2111539238308637,2.0699509190975505,0.14120300473331326,70.24037526592146
106,1753104600,210.58999999999997,211.07365863192683,210.43002272561452,61.69776746375832,3.930240796962437,2.294705104563718,2.114901756190784,0.1798033483729342,62.834121249962834
107,1753191000,211.64799999999997,212.18243908795122,211.2240181804916,64.84071213972643,3.843787882893691,2.487177338989028,2.189356872750433,0.29782046623859504,79.6892341842399
108,1753277400,212.44599999999997,212.83829272530082,211.8092145443933,64.10312168070512,3.764945891258428,2.5896877524106685,2.26942304868248,0.3202647037281885,76.91453940066609
109,1753363800,213.19399999999996,213.14552848353387,212.19937163551467,62.90103825246743,3.650306899025683,2.6093789566309056,2.337414230272165,0.27196472635874036,72.58601553829077
110,1753450200,213.73399999999998,213.3903523223559,212.53549730841172,63.13013991605416,3.520999263380991,2.6046426755313234,2.3908599193239968,0.21378275620732667,77.80373831775695
111,1753709400,214.04799999999994,213.61023488157062,212.83839784672938,63.47426616132608,3.3969993159966343,2.584810629934452,2.429650061446088,0.15516056848836435,79.78971962616835
112,1753795800,213.42199999999997,212.83015658771376,212.5247182773835,54.51375185970495,3.439356507711161,2.318049789310834,2.407330007019037,-0.08928021770820305,45.26699029126231
113,1753882200,212.402,211.57010439180917,211.82977462190678,48.61211325095261,3.52725961430322,1.9055385917930892,2.3069717239738474,-0.40143313218075827,18.325242718446816
114,1753968600,211.164,210.23673626120612,210.9778196975254,45.10623716502665,3.466741070424419,1.4425678405550286,2.1340909472900838,-0.6915231067350551,4.756380510440793
115,1754055000,208.86399999999998,207.6178241741374,209.2582557580203,35.450861417778,4.08197385110839,0.6493848549348513,1.8371497288190373,-1.187764873884186,6.162464985994365
116,1754314200,206.724,206.19521611609161,208.07660460641623,38.11706050265417,4.233618576029218,0.09792371400808975,1.4893045258568478,-1.391380811848758,12.955182072829091
117,1754400600,205.054,205.10347741072775,207.04528368513297,37.379967233950914,4.158360106312846,-0.3695506694987216,1.1175334867857338,-1.4870841562844554,9.943977591036326
118,1754487000,205.89399999999995,207.81898494048517,208.2862269481064,58.261309515844715,4.751334384433357,0.09245145931501497,0.91251708129159,-0.8200656219765751,82.2829131652661
119,1754573400,208.38599999999997,211.8893232936568,210.6349815584851,66.22262854306678,4.954810499830974,0.9942200621256063,0.9288576774583933,0.065362384667213,95.76227390180881
120,1754659800,213.77999999999997,217.70954886243786,214.37798524678806,73.66017905533809,5.440181178414476,2.4328795650441464,1.229662054975544,1.2032175100686024,94.40677966101693
121,1754919000,218.546,220.8663659082919,216.93838819743047,69.8060550937918,5.394453951384871,3.3592039098943474,1.6555704259593047,1.7036334839350427,87.05084745762714
122,1755005400,223.892,223.79424393886126,219.4807105579444,71.62590995897142,5.27556438342881,4.243712112726911,2.173198763312826,2.070513349414085,95.42372881355934
123,1755091800,227.908,226.97282929257418,222.25056844635552,74.12789237816669,5.2808812131838945,5.18190273189515,2.774939557029291,2.406963174865859,95.01492537313437
124,1755178200,230.458,228.90855286171612,224.35645475708444,73.09054770395915,5.208675412242188,5.814024695837276,3.382756584790888,2.431268111046388,93.03985722784056
125,1755264600,230.906,229.8023685744774,225.80316380566757,70.78254373926524,5.189841454224889,6.148091480169853,3.935823563866681,2.212267916303172,89.50029744199881
126,1755523800,231.648,230.16491238298494,226.82053104453408,69.39439660740597,5.0341384932088244,6.283920539345843,4.405442958962514,1.8784775803833291,87.41820345032713
127,1755610200,231.82999999999998,230.2966082553233,227.56842483562727,68.71027765680789,4.925985743693909,6.292402901499742,4.78283494746996,1.509567954029782,86.43664485425342
128,1755696600,230.36599999999999,228.86773883688218,227.2567398685018,59.936603772412354,4.9162724762872,5.864377368697262,4.99914343171542,0.8652339369818423,72.90303390838783
129,1755783000,228.78999999999996,227.54515922458813,226.78539189480142,57.99116362982206,4.760795870838116,5.373652209165982,5.074045187205533,0.2996070219604494,69.44236806697563
130,1755869400,228.02399999999997,227.61677281639209,226.98031351584115,61.462062412780384,4.720024737206821,5.156090876665218,5.09045432509747,0.0656365515677475,77.66990291262132
131,1756128600,227.27799999999996,227.46451521092806,227.01625081267292,60.33578298670478,4.602165827406337,4.8790147229775584,5.048166404673488,-0.1691516816959293,73.04436166610223
132,1756215000,227.02799999999996,228.07967680728538,227.47500065013833,62.955388856184385,4.6162968397344555,4.777840930510251,4.994101309840841,-0.21626037933058928,68.6623516720604
133,1756301400,227.92399999999998,228.88311787152358,228.07800052011066,64.34713409966731,4.475132779753424,4.738256438628355,4.942932335598344,-0.2046758969699889,70.82545683679903
134,1756387800,229.456,230.10874524768238,228.9744004160885,66.70991083117116,4.446551866913893,4.81837392859407,4.918020654197489,-0.09964672560341903,77.42424776888075
135,1756474200,230.33199999999997,230.78583016512158,229.60752033287082,65.75768840418533,4.272512447848614,4.792729524110285,4.892962428180049,-0.10023290406976315,73.72041341846261
136,1756819800,230.84399999999997,230.4305534434144,229.63001626629665,60.40726696259212,4.336618701573712,4.524971320892405,4.81936420672252,-0.29439288583011525,52.379272637482835
137,1756906200,232.676,233.11036896227625,231.3980130130373,69.93317516020224,4.679003080032731,4.9616283261104,4.847817030600096,0.11381129551030433,97.47836704358447
138,1756992600,234.53399999999996,235.33357930818417,233.07441041042983,71.05596359859572,4.57049571717325,5.351697166938038,4.948593057867685,0.40310410907035354,99.25618040261793
139,1757079000,235.95999999999995,236.78571953878944,234.39752832834387,70.86018350388937,4.446167451660874,5.589139168533052,5.076702280000758,0.5124368885322941,90.70674359734546
140,1757338200,237.108,237.1504796925263,235.09402266267506,66.86976412410078,4.400726919399383,5.567087868716783,5.174779397743963,0.39230847097281973,80.38723802139161
141,1757424600,238.03399999999996,236.2169864616842,234.94521813014003,59.797184896397205,4.473567853727997,5.204773170926671,5.180778152380505,0.02399501854616659,60.26135145613358
142,1757511000,235.69799999999995,233.0746576411228,233.31417450411203,48.07086494071797,4.754027292747425,4.258517801764299,4.996326082257264,-0.7378082804929651,17.15888617756394
143,1757597400,233.74799999999996,232.05977176074853,232.6573396032896,52.380802434990436,4.685882486122608,3.72708105610414,4.742477077026639,-1.0153960209224993,32.11064341551416
144,1757683800,232.62399999999997,232.72984784049902,232.9398716826317,57.15579806682839,4.743319451399564,3.5905185795202215,4.512085377525356,-0.9215667980051343,56.40408899579073
145,1757943000,232.38799999999998,234.053231893666,233.69189734610535,59.96988076669671,4.698796633442451,3.652408165336027,4.34014993508749,-0.6877417697514634,72.21888153938662
146,1758029400,233.14799999999997,235.418821262444,234.5835178768843,61.472378863079676,4.712918302482277,3.7749437876665013,4.2271087056032925,-0.45216491793679126,79.37540663630459
147,1758115800,235.58799999999997,236.60921417496266,235.46481430150743,62.353920379585475,4.545559852304971,3.8949367249605586,4.160674309474746,-0.26573758451418694,84.84059856864032
148,1758202200,237.158,237.0328094499751,235.94785144120596,60.387633144227735,4.545877005711758,3.8560145336672065,4.099742354313237,-0.24372782064603093,77.61873780091089
149,1758288600,239.44399999999996,239.8552062999834,237.85828115296476,67.8765925716411,4.822600076732348,4.389440001643408,4.157681883779271,0.23175811786413636,96.06879606879602
150,1758547800,243.32,245.26347086665558,241.5026249223718,74.95616334265121,5.2738429283943224,5.601332433799769,4.446411993783371,1.1549204400163982,98.17530140110784
151,1758634200,246.57599999999996,248.3189805777704,244.08809993789745,72.28074974426633,5.165711290651869,6.355364026699505,4.828202400366598,1.5271616263329069,90.72953169799308
152,1758720600,249.23999999999995,249.64932038518026,245.73247995031798,68.87896526309163,5.132446198462451,6.704586909721257,5.20347930223753,1.5011076074837275,83.97578846766494
153,1758807000,253.03799999999995,252.05621359012017,247.9599839602544,71.93820339862894,5.15570004142942,7.265549716536327,5.615893385097289,1.6496563314390382,98.5027078687481
154,1758893400,255.02999999999997,253.1908090600801,249.4599871682035,69.65802225859267,5.060292895613034,7.509773571259984,5.994669422329828,1.5151041489301562,93.23854660347547
155,1759152600,254.69999999999996,253.60387270672007,250.4539897345628,67.96334385286701,4.873843403069246,7.533370339818276,6.302409605827518,1.2309607339907584,89.98420221169033
156,1759239000,254.73999999999995,253.9459151378134,251.28919178765028,68.12550132777199,4.726354588564299,7.481961878263462,6.538320060314707,0.9436418179487553,90.40387722132463
157,1759325400,255.368,254.44727675854224,252.12135343012022,68.82229229842437,4.685900689381136,7.421833176153399,6.715022683482445,0.7068104926709537,88.78065166274763
158,1759411800,255.42,255.34151783902817,253.12308274409617,70.25687585297382,4.639050640139628,7.424161592720679,6.856850465330092,0.5673111273905871,93.01346801346791
159,1759498200,255.93199999999996,256.2343452260188,254.10246619527692,71.01769254865746,4.685547022986798,7.412377171595693,6.967955806583213,0.44442136501248086,94.67632491872656
160,1759757400,256.38399999999996,256.3862301506792,254.61997295622155,68.20976236853714,4.63800794991631,7.212575962206074,7.016879837707785,0.19569612449828888,88.71181938911018
161,1759843800,256.754,256.41748676711944,254.99197836497723,67.75424119331777,4.447435953493715,6.95708981852809,7.004921833871846,-0.04783201534375614,87.7822045152723
162,1759930200,257.27599999999995,256.96499117807963,255.60558269198177,69.40951872124067,4.301904813958447,6.803679423127647,6.964673351723006,-0.16099392859535833,93.79906880931608
163,1760016600,256.65799999999996,255.98999411871975,255.29246615358542,60.85063749112606,4.346054470104273,6.285267524473426,6.828792186273089,-0.5435246617996636,53.237410071942314
